Country,exp_2018,exp_2020,imp_2020,imp_2018,trade_balance_2020,trade_balance_2018,ratio_exp_2020_2018,ratio_imp_2020_2018,ratio_balance_2020_2018,iso_3digit_alpha
Albania,2168.2996525642793,1931.4575840750304,5194.406545564022,5348.314253078781,-3262.9489614889917,-3180.0146005145016,0.8907706007289379,0.9712231368180804,1.026079867985849,ALB
Argentina,57665.91569167491,53103.762035961874,41067.61730297591,61978.0893203858,12036.144732985966,-4312.173628710887,0.9208864785897839,0.6626150911281476,-2.7912013219616436,ARG
Australia,232389.67728781927,229063.81400871516,180218.20073508215,202144.4446756367,48845.613273633004,30245.23261218256,0.9856884207684278,0.8915318005610411,1.6149855383806289,AUS
Austria,167724.74093594722,154213.20356457127,157636.11117795552,175470.5213485483,-3422.9076133842464,-7745.780412601074,0.9194421926307467,0.8983623572009161,0.4419060999735746,AUT
Belgium-Luxembourg,298056.57859357883,277294.9915307244,287645.26197811915,328175.07230755955,-10350.270447394752,-30118.493713980715,0.9303434698176405,0.8764994243942555,0.34365166285159393,BEL
Bangladesh,39073.967942602525,35964.74925494779,50583.07051608473,57703.130025884995,-14618.321261136938,-18629.16208328247,0.9204273624776986,0.8766087817661488,0.7847009541161918,BGD
Bulgaria,27390.23822952481,26564.338647387427,30810.12657205614,35601.74683720106,-4245.787924668712,-8211.508607676253,0.9698469368825307,0.865410529234536,0.5170533366669895,BGR
Bosnia Herzegovina,6185.389830720649,5301.915097865955,8084.878305682658,9281.48047414635,-2782.9632078167024,-3096.0906434257013,0.8571674935560591,0.8710763684956468,0.8988636084431508,BIH
Belarus,28041.104177951034,25727.893256849748,32827.27500948943,37463.14916798797,-7099.3817526396815,-9422.044990036935,0.9175064253382652,0.8762550863593745,0.7534862930655409,BLR
Bolivia (Plurinational State of),8300.199193472017,6674.371259396238,6537.972397261697,9264.094794222017,136.39886213454156,-963.8956007500001,0.804121817298738,0.7057324587545678,-0.14150792059680592,BOL
Brazil,221177.83208395084,200513.23992102023,162061.25719853464,186236.0635457857,38451.98272248558,34941.76853816514,0.9065702382185973,0.8701926689869723,1.1004589730621794,BRA
Brunei Darussalam,6218.4062849286,7101.852385087137,4174.559690846845,4410.029990373586,2927.292694240292,1808.3762945550143,1.1420695367396183,0.9466057373666991,1.6187409130800448,BRN
Canada,407031.4400365907,348928.0685965157,392647.07036082767,445840.91697088676,-43719.00176431198,-38809.47693429608,0.8572509007293105,0.8806887286804754,1.1265032465737082,CAN
Switzerland,295307.46684068744,305081.6640395291,252475.80909792526,243753.97648016052,52605.854941603844,51553.49036052692,1.0330983747326465,1.0357812936786064,1.0204130617290403,CHE
Chile,72845.21074945602,68541.15158193989,58500.17023186493,70626.77514495424,10040.981350074959,2218.4356045017776,0.9409150015047727,0.8283001752777089,4.526154074384318,CHL
China,2209089.216894744,2162897.3658265965,1424088.2633814723,1454140.227350495,738809.1024451242,754948.9895442489,0.9790900925526774,0.9793335172194647,0.9786212216684095,CHN
Côte d'Ivoire,10076.286138130043,9858.1599313983,10614.508977115951,9888.893548897962,-756.3490457176504,187.39258923208035,0.9783525195948611,1.0733768064778948,-4.036173729265962,CIV
Cameroon,4008.043653511768,4012.172119974168,7246.857729509254,5980.319778100467,-3234.685609535086,-1972.2761245886995,1.001030045283759,1.2117843189668158,1.6400774562992038,CMR
Colombia,40684.47013631216,30392.6842897882,41273.49991453845,48821.861636517984,-10880.815624750248,-8137.3915002058275,0.7470340448814592,0.8453897195035783,1.3371380281353096,COL
Cyprus,3188.340014363165,2796.4708034257965,10051.781038783476,13575.97601267937,-7255.31023535768,-10387.635998316204,0.877093029861296,0.7404094578095565,0.6984563414172135,CYP
Czechia,176931.88697590464,163813.58994833427,168318.20699535962,181325.1089972891,-4504.617047025356,-4393.222021384456,0.9258567957885574,0.9282675076063297,1.0253561110953815,CZE
Germany,1463158.277003299,1299857.0501225768,1055009.4996795165,1143162.7707487543,244847.55044306023,319995.5062545447,0.8883912769743679,0.9228865098436518,0.7651593402324,DEU
Denmark,86464.73188614243,81170.36469410098,88520.55738685909,94717.7376874814,-7350.192692758108,-8253.005801338979,0.9387684773138125,0.9345721250113707,0.8906079638966936,DNK
