,exporter,importer,secgroup,product,v2020
72,AES,AES,CAT,TT,227476.04591611
456,AES,AFA,CAT,TT,1437.590947011
840,AES,AFN,CAT,TT,5408.51944232412
1224,AES,AFR,CAT,TT,47568.9356177753
1608,AES,AFS,CAT,TT,16271.739594741
1992,AES,AFZ,CAT,TT,5154.15699527461
2376,AES,ALB,CAT,TT,48.0615229017681
2760,AES,AMA,CAT,TT,3111.56548915147
3144,AES,AME,CAT,TT,261774.777571937
3528,AES,AMN,CAT,TT,242977.386396681
3912,AES,AMS,CAT,TT,18797.3911752566
4296,AES,ANE,CAT,TT,495596.744084371
4680,AES,AOA,CAT,TT,2289.35532281674
5064,AES,AOZ,CAT,TT,8846.70595091591
5448,AES,APEC,CAT,TT,995624.845395053
5832,AES,ARG,CAT,TT,2459.67879929553
6216,AES,ASEA,CAT,TT,229128.183199695
6600,AES,ASO,CAT,TT,819654.156183175
6984,AES,ASS,CAT,TT,65151.094473197
7368,AES,AUS,CAT,TT,27301.8259457399
7752,AES,AUT,CAT,TT,2710.00499280062
8136,AES,BAL,CAT,TT,1164.98091980291
8520,AES,BEL,CAT,TT,4270.28170174847
8904,AES,BGD,CAT,TT,7605.94822587639
9288,AES,BGR,CAT,TT,505.663990488093
9672,AES,BIH,CAT,TT,133.298043781522
10056,AES,BLR,CAT,TT,212.037542280847
10440,AES,BLX,CAT,TT,4527.56079937765
10824,AES,BOL,CAT,TT,136.952094707325
11208,AES,BRA,CAT,TT,7453.78672558745
11592,AES,BRIC,CAT,TT,301613.4430756
11976,AES,BRN,CAT,TT,1652.13728358547
12360,AES,CAL,CAT,TT,16231.2999120606
12744,AES,CAN,CAT,TT,14781.9732245773
13128,AES,CAU,CAT,TT,395.51591657206
13512,AES,CEA,CAT,TT,198.933266755524
13896,AES,CEI,CAT,TT,12096.8654599403
14280,AES,CHE,CAT,TT,15888.4507567333
14664,AES,CHL,CAT,TT,2038.53525315668
15048,AES,CHN,CAT,TT,283152.90141188
15432,AES,CIV,CAT,TT,656.673811324621
15816,AES,CMR,CAT,TT,352.621404887373
16200,AES,COL,CAT,TT,1277.7235755702
16584,AES,CSK,CAT,TT,11084.8555808922
16968,AES,CYP,CAT,TT,150.008863733942
17352,AES,CZE,CAT,TT,5884.32645750828
17736,AES,DEU,CAT,TT,36495.4380941662
18120,AES,DEV,CAT,TT,640762.884773745
18504,AES,DNK,CAT,TT,1243.05304694845
18888,AES,DZA,CAT,TT,828.113351358938
19272,AES,E15,CAT,TT,116840.062084204
19656,AES,E28,CAT,TT,142624.220261185
20040,AES,ECU,CAT,TT,578.516144938788
20424,AES,EGY,CAT,TT,3303.13513647157
20808,AES,EM1,CAT,TT,241538.783368831
21192,AES,ENM,CAT,TT,28344.1543060471
21576,AES,ESP,CAT,TT,7434.64632221582
21960,AES,EST,CAT,TT,545.92770999597
22344,AES,EUA,CAT,TT,37997.8444827307
22728,AES,EUC,CAT,TT,178551.92321975
23112,AES,EUR,CAT,TT,107050.107054312
23496,AES,FIN,CAT,TT,1304.21259350701
23880,AES,FRA,CAT,TT,10776.0528494078
24264,AES,G20,CAT,TT,849689.778103719
24648,AES,G8,CAT,TT,377546.649116892
25032,AES,GAB,CAT,TT,118.021371241498
25416,AES,GBR,CAT,TT,14167.0069841057
25800,AES,GLF,CAT,TT,23306.6089112978
26184,AES,GOA,CAT,TT,16053.7894422168
26568,AES,GRC,CAT,TT,703.508568961152
26952,AES,HKG,CAT,TT,42849.9793469068
27336,AES,HRV,CAT,TT,161.595824600124
27720,AES,HUN,CAT,TT,3055.24072785301
28104,AES,IDN,CAT,TT,30998.5429425423
28488,AES,IND,CAT,TT,36443.8635553848
28872,AES,IRL,CAT,TT,1919.08031421793
29256,AES,ISL,CAT,TT,93.1047661998002
29640,AES,ISR,CAT,TT,1404.70407085548
30024,AES,ITA,CAT,TT,7818.88183928903
30408,AES,JPN,CAT,TT,88365.1836405811
30792,AES,KAZ,CAT,TT,608.00129892439
31176,AES,KEN,CAT,TT,1390.61045885709
31560,AES,KGZ,CAT,TT,13.7450498848741
31944,AES,KOR,CAT,TT,49274.9027105392
32328,AES,LBY,CAT,TT,216.853078390461
32712,AES,LKA,CAT,TT,2224.57599464582
33096,AES,LTU,CAT,TT,233.143924286964
33480,AES,LUX,CAT,TT,257.279097629178
33864,AES,LVA,CAT,TT,385.909285519977
34248,AES,MAR,CAT,TT,673.155048395411
34632,AES,MED,CAT,TT,42511.7361845967
35016,AES,MENA,CAT,TT,31297.1960230343
35400,AES,MERC,CAT,TT,10253.3236626252
35784,AES,MEX,CAT,TT,25292.545071557
36168,AES,MKD,CAT,TT,140.50295413905
36552,AES,MLT,CAT,TT,271.036379154218
36936,AES,MOA,CAT,TT,1177.36359855694
37320,AES,MYS,CAT,TT,41018.5149901714
37704,AES,NGA,CAT,TT,2032.24630235366
38088,AES,NLD,CAT,TT,24646.6321804753
38472,AES,NOR,CAT,TT,1825.05429729959
38856,AES,NRD,CAT,TT,6813.06573597382
39240,AES,NZL,CAT,TT,4128.44576375734
39624,AES,OCN,CAT,TT,31430.2717094973
40008,AES,OECD,CAT,TT,580554.848154233
40392,AES,OPEC,CAT,TT,27150.7271055213
40776,AES,PAK,CAT,TT,6088.50813997182
41160,AES,PED,CAT,TT,628948.796734765
41544,AES,PER,CAT,TT,1330.40700916672
41928,AES,PHL,CAT,TT,24497.4029771223
42312,AES,PMA,CAT,TT,37838.1110841275
42696,AES,PMO,CAT,TT,25888.6765807102
43080,AES,POL,CAT,TT,7387.78698979574
43464,AES,PRT,CAT,TT,746.342466712414
43848,AES,PRY,CAT,TT,163.003633117728
44232,AES,RCEP,CAT,TT,681351.442672193
44616,AES,ROM,CAT,TT,821.798153554493
45000,AES,RUS,CAT,TT,9354.61765454642
45384,AES,SAF,CAT,TT,5129.81830379113
45768,AES,SAU,CAT,TT,7252.81946908103
46152,AES,SEM,CAT,TT,436.951230103757
46536,AES,SGP,CAT,TT,43152.5530913412
46920,AES,SUN,CAT,TT,13261.8463797432
47304,AES,SVK,CAT,TT,5200.52912338387
47688,AES,SVN,CAT,TT,1181.19074710575
48072,AES,SWE,CAT,TT,2347.64103201897
48456,AES,THA,CAT,TT,37357.6600732883
48840,AES,TUN,CAT,TT,387.262827707749
49224,AES,TUR,CAT,TT,5265.4139274662
49608,AES,TWN,CAT,TT,31953.7769744636
49992,AES,UE,CAT,TT,128457.213277079
50376,AES,UKR,CAT,TT,1314.01473097616
50760,AES,URY,CAT,TT,176.854504624508
51144,AES,USA,CAT,TT,202902.868100546
51528,AES,VEN,CAT,TT,70.3679459401823
51912,AES,VNM,CAT,TT,34220.0719295837
52296,AES,WLD,CAT,TT,1310610.328261
52680,AES,XXX,CAT,TT,3060.53566835961
53064,AES,YUG,CAT,TT,2053.5387997302
53448,AFA,AES,CAT,TT,1380.37079729702
53832,AFA,AFA,CAT,TT,235.698507806647
54216,AFA,AFN,CAT,TT,82.4742685706426
54600,AFA,AFR,CAT,TT,7406.03957041407
54984,AFA,AFS,CAT,TT,2955.25953716903
55368,AFA,AFZ,CAT,TT,1563.25072742079
55752,AFA,ALB,CAT,TT,0.347723069377174
56136,AFA,AMA,CAT,TT,1.09796323261592
56520,AFA,AME,CAT,TT,1379.37067291965
